API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API

*******************************************************************************
 Revised: Sep 14, 2026     James Webb Space Telescope / (E-S L2)           -170
                           https://www.jwst.nasa.gov/index.html
                        https://www.youtube.com/watch?v=bTxLAGchWnA

 The James Webb Space Telescope ("JWST" or "Webb") is a space-based infrared 
 observatory and NASA's successor to the Hubble Space Telescope. 

 Launched by Ariane 5 booster on 2021-Dec-25 @ 12:20 UTC from the ELA-3 
 launch complex near Korou, French Guiana. 

 After launch, the telescope deployed during its 30-day, 1.5 million km 
 journey to halo orbit at the second Earth-Sun Lagrange point (E-S L2). 
 Mission duration is nominally 5-10 years.

 GOALS
  - Search for the first galaxies or luminous objects formed after the Big Bang
  - Determine how galaxies evolved from their formation until now
  - Observe the formation of stars from the first stages to the formation of 
     planetary systems
  - Measure the physical and chemical properties of planetary systems, 
     including our own Solar System, investigating the potential for life 
     in those systems.

 TELESCOPE
  * total launch mass : ~6200 kg (observatory, fuel, launch adaptor)
  * primary mirror    : 25 m^2 
             mass     : 705 kg
         material     : beryllium coated w/48.25 grams gold (golf-ball size)
      segment mass    : 20.1 kg, 39.48 kg for entire segment assembly
      No. of segments : 18
  * focal length      : 131.4 meters
  * optical resolution: 0.1 arcseconds
  * wavelength        : 0.6 - 28.5 microns
  * size of sun shield: 21.197 m x 14.162 m
  * Sun shield layers : 1: Max temp 283K, 231 deg. F.
                        5: Max temp 221K,  -80 F 
                           Min temp 36K,  -394 F 
  * Operating temp    : < 50K (-370 deg. F)

 INSTRUMENTS
  - Near Infrared Camera (NIRCam)
  - Near Infrared Spectrograph (NIRSpec)
  - Mid Infrared Instrument (MIRI)
  - Fine Guidance Sensors/Near Infrared Imager & Slitless Spectrograph 
     (FGS/NIRISS)

 TRAJECTORY
 MCC1A (65-minute engine burn) began 2021-Dec-26 12:50 UTC, completed 01:55 UTC.
 MCC1B (09:27 engine burn) began 2021-Dec-28 00:20 UTC, completed 00:29:27 UTC.
 MCC2  (04:57 engine burn) began 2022-Jan-24 19:00 UTC, completed 19:04:57 UTC.

 Concatenation of reconstructed trajectory solutions (as-flown) from Goddard 
 Flight Dynamics Facility (FDF), based on tracking data through September 13, 
 with prediction thereafter. 

 Trajectory files                             Start (TDB)         End (TDB) 
 ----------------------------------------  -----------------  -----------------
 DEFINITIVE_EPHEMERIS_202135913-2026249    2021-Dec-25 13:01  2026-Sep-14 00:01
 28D_NOBURN_PREDICT_SK_2026257000000_06U   2026-Sep-14 00:01  2026-Oct-12 00:01
 5Y_SCHEDULE_2026257000000_06U.V0.1        2026-Oct-12 00:01  2031-Sep-06 23:59
*******************************************************************************


*******************************************************************************
Ephemeris / API_USER Fri Sep 18 17:02:54 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: James Webb Space Telescope (spacecraft) (-170) {source: JWST_merged}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2023-Jan-24 00:00:00.0000 TDB
Stop  time      : A.D. 2023-Feb-05 00:00:00.0000 TDB
Step-size       : 60 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2459968.500000000, A.D. 2023-Jan-24 00:00:00.0000, -5.537422042955563E-01,  8.321663393901266E-01, -2.403954116715528E-03, -1.469717052641361E-02, -9.567289794337954E-03,  5.008007313977013E-05,  5.773025727359749E-03,  9.995684189826429E-01,  1.768230014180742E-04,
2459968.541666667, A.D. 2023-Jan-24 01:00:00.0000, -5.543544425433622E-01,  8.317674792720405E-01, -2.401865324948442E-03, -1.469026408200427E-02, -9.577995034670038E-03,  5.018191853603145E-05,  5.773068288824293E-03,  9.995757882717875E-01,  1.769028835945408E-04,
2459968.583333333, A.D. 2023-Jan-24 02:00:00.0000, -5.549663928621639E-01,  8.313681732071456E-01, -2.399772291016324E-03, -1.468334993519393E-02, -9.588695242304518E-03,  5.028370507458152E-05,  5.773110869517181E-03,  9.995831608902167E-01,  1.769828055456902E-04,
2459968.625000000, A.D. 2023-Jan-24 03:00:00.0000, -5.555780549297081E-01,  8.309684214055537E-01, -2.397675016415786E-03, -1.467642801919345E-02, -9.599390391401773E-03,  5.038546137514346E-05,  5.773153469444937E-03,  9.995905368390599E-01,  1.770627449298905E-04,
2459968.666666667, A.D. 2023-Jan-24 04:00:00.0000, -5.561894284235652E-01,  8.305682240780022E-01, -2.395573503484380E-03, -1.466949840366653E-02, -9.610080490167209E-03,  5.048714655266050E-05,  5.773196088614920E-03,  9.995979161195911E-01,  1.771427269953604E-04,
2459968.708333333, A.D. 2023-Jan-24 05:00:00.0000, -5.568005130231931E-01,  8.301675814348463E-01, -2.393467755137836E-03, -1.466256109694993E-02, -9.620765540251182E-03,  5.058876252964238E-05,  5.773238727037108E-03,  9.996052987335392E-01,  1.772227483849456E-04,
2459968.750000000, A.D. 2023-Jan-24 06:00:00.0000, -5.574113084092369E-01,  8.297664936845569E-01, -2.391357773818494E-03, -1.465561616589561E-02, -9.631445655078681E-03,  5.069031714947558E-05,  5.773281384714685E-03,  9.996126846814538E-01,  1.773027456328716E-04,
2459968.791666667, A.D. 2023-Jan-24 07:00:00.0000, -5.580218142637416E-01,  8.293649610336453E-01, -2.389243563173505E-03, -1.464866357024989E-02, -9.642120744974971E-03,  5.079178139175056E-05,  5.773324061644406E-03,  9.996200739627740E-01,  1.773827644661734E-04,
2459968.833333333, A.D. 2023-Jan-24 08:00:00.0000, -5.586320302667308E-01,  8.289629836928998E-01, -2.387125126312934E-03, -1.464170329381656E-02, -9.652790754038526E-03,  5.089317527958986E-05,  5.773366757835466E-03,  9.996274665790917E-01,  1.774628356165817E-04,
2459968.875000000, A.D. 2023-Jan-24 09:00:00.0000, -5.592419560975439E-01,  8.285605618773880E-01, -2.385002467107750E-03, -1.463473530419827E-02, -9.663455543713959E-03,  5.099445224267340E-05,  5.773409473313756E-03,  9.996348625348899E-01,  1.775430492373667E-04,
2459968.916666667, A.D. 2023-Jan-24 10:00:00.0000, -5.598515914359655E-01,  8.281576958010132E-01, -2.382875589590738E-03, -1.462775966667233E-02, -9.674115281523983E-03,  5.109566405314594E-05,  5.773452208099405E-03,  9.996422618336532E-01,  1.776232960906993E-04,
2459968.958333333, A.D. 2023-Jan-24 11:00:00.0000, -5.604609359632693E-01,  8.277543856744751E-01, -2.380744495926831E-03, -1.462077636563451E-02, -9.684769944850197E-03,  5.119681960484107E-05,  5.773494962200391E-03,  9.996496644767638E-01,  1.777035796251327E-04,
