name,m_f150w2,a,e,i,d_bary,sample,comp
JPB04,24.47,43.7,0.06,1.85,46.20,A,cold
JPB22,25.29,37.1,0.03,11.48,38.37,A,hot
JPB20,25.89,44.5,0.03,1.10,43.21,A,cold
JPB21,25.98,44.2,0.02,1.59,44.83,A,cold
JPB19,26.07,41.6,0.01,26.70,41.02,A,hot
JPB01,26.70,44.4,0.07,1.05,41.07,A,cold
JPB17,26.71,45.8,0.07,7.43,48.83,A,hot
JPB18,26.76,52.1,0.25,23.87,39.04,A,hot
JPB05,26.94,44.3,0.02,2.62,45.13,A,cold
JPB16,27.28,44.3,0.04,2.86,42.75,A,cold
JPB15,27.34,44.1,0.02,1.03,45.14,A,cold
JPB13,27.49,42.9,0.00,2.82,42.80,A,cold
JPB14,27.54,60.7,0.38,4.49,37.43,A,hot
JPB12,27.79,42.8,0.01,1.11,43.27,A,cold
JPB11,28.04,38.6,0.18,16.32,45.79,A,hot
JPB10,28.15,52.4,0.16,19.80,60.93,A,hot
JPB08,28.19,59.1,0.14,3.33,50.69,A,hot
JPB09,28.23,25.2,0.12,5.65,28.26,A,hot
JPB06,28.58,44.0,0.04,2.75,42.28,A,cold
JPB07,28.60,45.7,0.05,1.76,47.77,A,cold
