API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Mon Sep 21 19:49:13 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Hubble Space Telescope (spacecraft) (-48) {source: hst}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2003-Feb-02 06:00:00.0000 TDB
Stop  time      : A.D. 2003-Feb-02 14:00:00.0000 TDB
Step-size       : 1 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2452672.750000000, A.D. 2003-Feb-02 06:00:00.0000, -6.696147857768595E-01,  6.577009710755861E-01,  2.851504625290002E-01, -1.098401613106646E-02, -7.455870804707054E-03, -6.764437399959445E-03,
2452672.750694444, A.D. 2003-Feb-02 06:01:00.0000, -6.696224996708419E-01,  6.576958425587283E-01,  2.851457708420856E-01, -1.123326745184862E-02, -7.316724907473620E-03, -6.746118895864006E-03,
2452672.751388889, A.D. 2003-Feb-02 06:02:00.0000, -6.696303891387737E-01,  6.576908055031596E-01,  2.851410949458683E-01, -1.148948537885999E-02, -7.192556106810014E-03, -6.718976731221868E-03,
2452672.752083333, A.D. 2003-Feb-02 06:03:00.0000, -6.696384586378004E-01,  6.576858493215391E-01,  2.851364409282247E-01, -1.175156884314372E-02, -7.083890555826249E-03, -6.683131478997054E-03,
2452672.752777778, A.D. 2003-Feb-02 06:04:00.0000, -6.696467118517649E-01,  6.576809630843311E-01,  2.851318147802946E-01, -1.201839264413184E-02, -6.991187302287976E-03, -6.638741082587334E-03,
2452672.753472222, A.D. 2003-Feb-02 06:05:00.0000, -6.696551516761611E-01,  6.576761355670668E-01,  2.851272223707882E-01, -1.228881239179387E-02, -6.914836443258882E-03, -6.586000085306657E-03,
2452672.754166667, A.D. 2003-Feb-02 06:06:00.0000, -6.696637802065414E-01,  6.576713552987746E-01,  2.851226694208838E-01, -1.256166950811207E-02, -6.855157599267143E-03, -6.525138699346959E-03,
2452672.754861111, A.D. 2003-Feb-02 06:07:00.0000, -6.696725987304134E-01,  6.576666106113583E-01,  2.851181614798246E-01, -1.283579626228321E-02, -6.812398711264317E-03, -6.456421720961066E-03,
2452672.755555556, A.D. 2003-Feb-02 06:08:00.0000, -6.696816077226344E-01,  6.576618896896990E-01,  2.851137039013198E-01, -1.311002081463339E-02, -6.786735161450114E-03, -6.380147299395772E-03,
2452672.756250000, A.D. 2003-Feb-02 06:09:00.0000, -6.696908068443076E-01,  6.576571806222532E-01,  2.851093018208475E-01, -1.338317224505949E-02, -6.778269216957541E-03, -6.296645567766204E-03,
